pyram,clock
756,4148
458,864
837,911
407,1216
718,1225
2108,5022
867,1140
483,661
653,1484
839,944
714,1323
387,1721
524,1328
1812,2744
538,2081
2696,4243
401,1381
594,2659
682,747
525,2988
1140,3170
1245,2301
720,2721
400,2183
801,1725
1022,2039
850,1803
287,856
414,1057
421,2684
431,1837
547,1520
688,1151
967,1092
1739,1065
914,1526
455,1245
839,2047
420,579
591,1443
441,2508
651,3877
329,1514
904,1287
284,2549
748,2254
481,803
723,2736
1026,1785
669,1075
342,1652
1109,1851
1326,2247
544,1477
410,1768
578,2879
1496,3107
863,1502
207,700
556,1182
663,2695
470,1349
635,1427
996,2463
799,1842
368,779
775,1900
643,6354
519,2453
1523,6347
866,1215
1045,2493
1064,4460
295,766
391,3591
420,831
307,1226
494,1035
420,1358
549,2694
263,722
971,2215
706,1427
395,2172
450,1507
1152,1331
450,1103
704,1922
841,1160
262,463
804,946
1415,1749
741,4511
1087,2849
569,936
635,1256
715,1943
630,614
728,1371
824,1550
1033,1024
910,2278
1416,2985
816,3553
843,2256
825,2325
752,1655
1048,2323
1184,3055
563,2455
436,883
941,1044
1102,1320
1040,1216
500,1925
724,1938
1047,2440
231,1099
744,2403
800,1409
475,4176
279,2072
326,827
1298,1313
849,5924
634,1871
980,1770
570,928
1383,697
1022,1004
292,578
655,1334
956,1967
1215,1505
388,1630
392,1114
672,2194
525,1237
1329,943
906,1206
1036,782
621,3119
817,1645
820,1560
1308,872
507,2986
899,1973
761,1351
475,7620
1240,3752
1331,2541
478,1044
292,892
806,6543
778,4031
1059,1850
212,1012
813,914
1040,2500
794,496
781,2579
913,4596
787,1346
992,1066
344,1065
1274,866
1081,2740
1093,6237
1159,5852
304,631
473,3124
701,1841
886,1449
689,2220
1117,2124
1232,2408
323,1639
939,733
1159,7073
732,1202
1253,3447
949,2550
605,1252
929,1701
847,1906
1279,3439
704,1187
479,585
543,2119
401,1261
952,2985
2827,1526
789,890
323,789
445,1735
1160,3567
1507,1858
615,1797
1539,1649
534,732
674,1800
462,1112
726,619
828,755
3984,4419
769,1905
2005,2628
810,1189
1312,2551
598,2021
728,1237
1062,5434
946,1366
510,1724
745,1873
555,957
745,2928
993,1395
523,3533
574,636
1080,2367
333,926
832,1484
426,1804
391,1276
705,1609
954,3667
688,2140
584,1636
709,2066
1461,1532
654,1417
291,2893
587,864
613,1970
631,1548
840,5658
628,670
1153,1325
539,1892
1131,2726
626,2899
313,1022
558,2816
552,866
405,651
557,5084
837,1248
1174,4438
1210,2890
1125,4859
194,1171
1161,2469
1435,2033
550,1259
814,908
411,900
2440,3936
1083,1886
895,799
696,786
430,2041
542,1937
796,1024
889,2373
1074,4644
2127,1233
4109,3036
888,2897
774,1363
644,2884
850,1575
815,1404
341,1031
425,2128
705,1086
557,1046
541,1669
993,4422
704,1469
652,1442
449,1106
650,2099
235,644
515,712
370,3137
422,903
650,2281
2719,4081
534,1001
1031,2851
617,1718
904,2597
722,1613
352,1382
716,1467
272,1455
478,3648
409,1714
495,1445
736,744
511,1273
1168,1461
1324,1475
778,1138
711,1821
494,1728
785,936
1179,2483
677,2888
620,1084
1187,1726
553,1919
1052,2857
1053,2298
617,1567
340,1387
1467,4678
578,764
501,970
606,1658
1721,4745
591,1309
1007,1912
699,1557
248,534
883,1656
1975,4000
502,1569
601,1502
647,2364
657,893
377,1266
1587,1123
1245,2706
804,721
620,1986
453,989
866,1130
781,1821
409,842
1011,5063
808,3527
564,4534
971,2017
696,1938
399,2897
362,1538
997,726
441,921
215,706
2841,3990
307,726
889,2767
325,1054
594,768
554,1631
817,2188
2010,2816
1162,2035
1145,4311
1257,2608
1135,2328
1808,1555
821,1617
526,1806
568,1141
564,4885
913,3095
862,2862
449,1509
263,788
590,1305
1338,2991
619,1221
972,1550
2019,1197
1160,1823
1088,1798
320,1708
837,1756
925,3462
400,1212
550,1981
2055,2908
975,2263
442,3142
1023,3777
725,2404
1030,2510
962,7020
826,2612
642,2397
498,1912
568,3671
756,627
2687,2337
942,1781
1150,2498
992,1514
280,2193
973,1639
883,1421
1403,1706
781,1561
629,3237
609,1592
298,1774
964,832
1260,3002
582,4661
727,2837
545,1512
517,2394
499,5718
833,2216
1517,2730
762,2591
1588,3529
634,2942
1232,5941
701,1854
426,1075
255,628
422,1108
743,1893
894,2668
675,7209
274,4407
788,2564
387,2111
289,1400
1529,1099
1083,1969
1024,2852
422,691
626,1400
1895,1946
544,1281
903,1773
431,1473
236,973
1188,2589
868,1210
1623,1373
559,1382
1256,4179
302,1017
321,884
797,2069
1064,2240
1302,1837
482,1343
1416,3245
388,1027
1132,4246
423,1401
683,1635
645,965
317,937
602,1114
448,937
340,1185
944,3369
837,1945
562,2109
870,3132
1301,800
2350,10313
1300,2793
1409,5721
467,1548
905,1364
248,920
463,4622
1172,2893
1584,4376
741,1115
2339,4062
773,1351
2324,5860
814,1953
540,1346
850,2217
453,1430
